Drzava,Zlato,Srebro,Bron,Skupaj
Avstrija,27,17,14,58
Finska,15,13,9,37
Norveska,12,17,10,39
Nemcija,6,11,16,34
Slovenija,6,2,5,13
Japonska,4,6,8,18
Poljska,0,3,5,8
Rusija,0,1,2,3
Svica,0,0,1,1
