Sezona,Skakalec,Zasluzek_v_svicarskih_frankih
2011_12,Gregor Schlierenzauer,"165,700"
2012_13,Gregor Schlierenzauer,"176,500"
2013_14,Kamil Stoch,"147,500"
2009_10,Simon Ammann,"164,900"
2010_11,Thomas Morgenstern,"213,200"
