Tekmovalec,Zlato,Srebro,Bron
Primoz Peterka,1,1,0
Martin Schmitt,1,1,0
Janne Ahonen,1,0,1
Ari-Pekka Nikkola,1,0,0
Dieter Thoma,1,0,0
