Tekmovalka,Zmage
Sara Takanasi,24
Sarah Hendrickson,13
Daniela Iraschko,5
Coline Mattel,2
Sabrina Windmuller,1
Anette Sagen,1
Jacqueline Seifriedsberger,1
Irina Avakumova,1
