Drzava,Vse_zmage
Austria,262
Finland,166
Germany,127
Norway,109
Japan,90
Poland,59
Slovenia,44
Switzerland,32
Czech Republic,31
United States,16
Canada,14
Sweden,7
Italy,7
France,3
Russian Federation,1
