Tekmovalec,Zmage
Gregor Schlierenzauer,52
Matti Nykanen,46
Adam Malysz,39
Janne Ahonen,36
Jens Weissflog,33
Martin Schmitt,28
Andreas Felder,25
Thomas Morgenstern,23
Simon Ammann,21
Andreas Goldberger,20
Sven Hannawald,18
Matti Hautamaki,16
Noriaki Kasai,16
Kazujosi Funaki,15
Primoz Peterka,15
