Sezona,Prva,Druga,Tretja
2000_01,Finska,Avstrija,Nemcija
2001_02,Nemcija,Avstrija,Finska
2002_03,Avstrija,Finska,Norveska
2003_04,Norveska,Finska,Avstrija
2004_05,Avstrija,Finska,Norveska
2005_06,Avstrija,Norveska,Finska
2006_07,Avstrija,Norveska,Svica
2007_08,Avstrija,Norveska,Finska
2008_09,Avstrija,Finska,Norveska
2009_10,Avstrija,Norveska,Nemcija
2010_11,Avstrija,Norveska,Poljska
2011_12,Avstrija,Norveska,Nemcija
2012_13,Norveska,Avstrija,Nemcija
2013_14,Avstrija,Nemcija,Slovenija
