Tekmovalec,Zlato,Srebro,Bron
Matti Nykanen,4,1,0
Adam Malysz,4,0,1
Andreas Goldberger,3,0,1
Gregor Schlierenzauer,2,3,0
Janne Ahonen,2,2,4
